timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2024/01/17 22:31:00.501, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 44 %, 28721 MiB
2024/01/17 22:31:00.604, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:00.706, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:00.808, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:00.909, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:01.011, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:01.114, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:01.216, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:01.318, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 42 %, 28721 MiB
2024/01/17 22:31:01.419, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 43 %, 28721 MiB
2024/01/17 22:31:01.521, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 43 %, 28721 MiB
2024/01/17 22:31:01.623, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 41 %, 28721 MiB
2024/01/17 22:31:01.724, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 56, 100 %, 41 %, 28721 MiB
2024/01/17 22:31:01.826, NVIDIA A100 80GB PCIe, 00000000:03:00.0, 535.54.03, 55, 100 %, 38 %, 28721 MiB
